Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AAA - Super Managed Bond Series 1,18888.89,20000,15555.56,13333.33,20000,20000,,,,,,,,,,,,,,,
ACU - DA (AE),12375000,5948000,3050000,2800000,,,,,,,,,,,,,,,,,
ACU - Deferred Annuity,22367500,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA (<65yrs),2000000,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA (65yrs),0,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA NEF (<65yrs),0,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA NEF (65yrs),0,,,,,,,,,,,,,,,,,,,,
ACU The Portfolio Service - RO Plan,230266666.7,566540000,810291666.7,1110184444,1192237500,,,,,,,,,,,,,,,,
Advance - Managed Super Fund,8859166.67,9053333.33,8845000,,,,,,,,,,,,,,,,,,
Advance ADF - Capital Fund,72509166.67,56780833.33,35782500,25914166.67,20415833.33,15584166.67,13065000,10486666.67,8420000,,,,,,,,,,,,
Advance ADF - Growth Fund,37714166.67,38394166.67,35095833.33,34096666.67,32720833.33,28835000,24104166.67,20541666.67,16890000,,,,,,,,,,,,
Advance Aggressive Equity Fund,,,,,,,,,,,,,,,,,,,,,
Advance Conservative Equity Fund,,,,,,,,,,,,,,,,,,,,,
Advance Income Investment Fund,,,,,,,,,,,,,,,,,,,,,
Advance Overseas Fund,,,,,,,,,,,,,,,,,,,,,
Advance Pers Super - Capital Stable Opt,,2776000,7889166.67,12794166.67,11725000,9817500,9394000,,,,,,,,,,,,,,
Advance Pers Super - Cash Option,,434000,2495833.33,2668333.33,2047500,1609166.67,1334000,,,,,,,,,,,,,,
Advance Pers Super - Managed Growth Opt,,5464000,16205833.33,21595833.33,19110833.33,17785833.33,18044000,,,,,,,,,,,,,,
Advance Pers Super - Stable Plus Option,,920000,4902500,9982500,8965833.33,7227500,6424000,,,,,,,,,,,,,,
Advance Property Investment Fund,,,,,,,,,,,,,,,,,,,,,
Advance PST - Aust Share Tax Exempt,,,,,,228888.89,404166.67,546666.67,,,,,,,,,,,,,
Advance PST - Capital Stable Portfolio,,,,862500,1616666.67,1427500,2115000,1954545.45,,,,,,,,,,,,,
Advance PST - Managed Portfolio,,,,21307500,29810833.33,35920000,39915833.33,24991666.67,18224166.67,15473636.36,12083333.33,11578333.33,10415833.33,10066666.67,,,,,,,
Advance PST - Money Market 1,,,,,,156666.67,273333.33,276666.67,,,,,,,,,,,,,
Advance PST - Money Market 2,,,,34075000,28718333.33,21260000,17465833.33,15810000,,,,,,,,,,,,,
Advance PST - Property Securities,,,,,,465000,1511666.67,2288181.82,,,,,,,,,,,,,
