date,invoiceNr,posid,customerName,customerAdr,customerEmail,productid,qty,subtotal,discount,tax,total,checkouttype,checkoutstatus
Fri Jan 23 15:17:20 AEDT 2015,201501230112229.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 15:17:20 AEDT 2015,201501230112229.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 15:09:18 AEDT 2015,201501230112228.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 15:09:18 AEDT 2015,201501230112228.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 15:09:18 AEDT 2015,201501230112228.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:59:49 AEDT 2015,201501230112227.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:59:49 AEDT 2015,201501230112227.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 14:41:19 AEDT 2015,201501230112226.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 14:41:19 AEDT 2015,201501230112226.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 14:41:19 AEDT 2015,201501230112226.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:32:49 AEDT 2015,201501230112225.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:32:49 AEDT 2015,201501230112225.00,1.00,,,,5.00,1.00,4.00,0.00,0.36,4.00,CASH,FINISHED
Fri Jan 23 14:32:49 AEDT 2015,201501230112225.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 14:32:49 AEDT 2015,201501230112225.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:19:09 AEDT 2015,201501230112224.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:19:09 AEDT 2015,201501230112224.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 14:01:57 AEDT 2015,201501230112223.00,1.00,,,,2.00,1.00,3.50,0.00,0.32,3.50,CASH,FINISHED
Fri Jan 23 14:01:57 AEDT 2015,201501230112223.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 13:48:40 AEDT 2015,201501230112222.00,1.00,,,,1.00,1.00,3.80,0.00,0.35,3.80,CASH,FINISHED
Fri Jan 23 13:35:25 AEDT 2015,201501230112221.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
Fri Jan 23 13:35:25 AEDT 2015,201501230112221.00,1.00,,,,3.00,1.00,4.50,0.00,0.41,4.50,CASH,FINISHED
