Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AAA - Super Managed Bond Series 1,,,,,,,,,,,,,,,,,,,,,
ACU - DA (AE),,,,,,,,,,,,,,,,,,,,,
ACU - Deferred Annuity,,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA (<65yrs),,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA (65yrs),1999999.667,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA NEF (<65yrs),1999999.667,,,,,,,,,,,,,,,,,,,,
ACU - Protected Growth DA NEF (65yrs),1999999.667,,,,,,,,,,,,,,,,,,,,
ACU The Portfolio Service - RO Plan,361023333.3,852172857.3,,,,,,,,,,,,,,,,,,,
Advance - Managed Super Fund,,8646666.667,8845000.25,,,,,,,,,,,,,,,,,,
Advance ADF - Capital Fund,,48856666.67,35782500.25,25914166.58,20415833.08,15584166.67,13065000.33,10486666.42,8419999.5,,,,,,,,,,,,
Advance ADF - Growth Fund,,36296666.67,35095833.25,34096666.75,32720833.33,28835000.42,24104166.58,20541666.58,16890000,,,,,,,,,,,,
Advance Aggressive Equity Fund,,,,,,,,,,,,,,,,,,,,,
Advance Conservative Equity Fund,,,,,,,,,,,,,,,,,,,,,
Advance Income Investment Fund,,,,,,,,,,,,,,,,,,,,,
Advance Overseas Fund,,,,,,,,,,,,,,,,,,,,,
Advance Pers Super - Capital Stable Opt,,2776000.4,44531666.58,89672499.92,82016666.83,91112499.75,135579999.8,,,,,,,,,,,,,,
Advance Pers Super - Cash Option,,434000.2,2495833.417,2668333.25,2047499.917,69737500,169752000,,,,,,,,,,,,,,
Advance Pers Super - Managed Growth Opt,,5463999.6,22335833.25,35766666.42,29300000.08,26041666.75,24728000.2,,,,,,,,,,,,,,
Advance Pers Super - Stable Plus Option,,919999.8,8406666.75,23158333.25,17842499.83,12268333.25,8550000,,,,,,,,,,,,,,
Advance Property Investment Fund,,,,,,,,,,,,,,,,,,,,,
Advance PST - Aust Share Tax Exempt,,,,,,245000,404166.6667,546666,,,,,,,,,,,,,
