Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
1990-06-01,269452,177472,111938,55228,86919,15706,9659,18333
1991-06-01,269576,173087,112176,54881,88169,15783,9857,18794
1992-06-01,270438,170810,115658,53934,91040,15959,9564,18737
1993-06-01,278425,178622,122902,55596,95410,16501,9604,19350
1994-06-01,289626,184756,128692,57409,101401,16797,9442,20173
1995-06-01,300419,190472,135404,58329,107781,17156,9873,20929
1996-06-01,311817,197371,141375,60877,113051,17650,10592,20961
1997-06-01,324488,204627,149173,62377,117255,17936,10831,21415
1998-06-01,336894,215794,155189,65602,123022,18455,11412,21919
1999-06-01,353282,229121,164186,66944,127869,18857,11928,23229
2000-06-01,368866,238285,171124,68231,131280,19165,12684,23989
2001-06-01,375297,240935,176421,69951,134726,19026,12885,24698
2002-06-01,381461,251295,188512,72866,142427,19730,13448,25392
2003-06-01,389182,260470,195276,74397,149138,20541,13653,26604
2004-06-01,399266,270155,208487,77665,158629,21611,14034,27132
2005-06-01,405978,280888,220948,79067,163564,22022,14645,27783
2006-06-01,414227,286873,232896,80162,171641,22608,15114,28506
2007-06-01,422608,297611,246208,81975,182276,23254,15914,29729
2008-06-01,434465,307374,258089,86665,189686,23857,16988,30477
2009-06-01,439086,311342,260701,88645,197810,24421,17790,31513
2010-06-01,446963,316606,264319,89638,205959,24476,17977,32498
2011-06-01,457796,322361,267199,91818,215701,24526,18316,33526
2012-06-01,469354,331213,279838,93162,232162,24671,19086,34508
2013-06-01,477694,338168,288378,94006,242841,24610,19913,35333
2014-06-01,487637,343819,295142,95199,256188,24905,21205,35566
