"Ind","Gender","age_range","Occ_code","Partner_status","Region","Lodgment_method","PHI_Ind","Sw_amt","Alow_ben_amt","ETP_txbl_amt","Grs_int_amt","Aust_govt_pnsn_allw_amt","Unfranked_Div_amt","Frk_Div_amt","Dividends_franking_cr_amt","Net_rent_amt","Gross_rent_amt","Other_rent_ded_amt","Rent_int_ded_amt","Rent_cap_wks_amt","Net_farm_management_amt","Net_PP_BI_amt","Net_NPP_BI_amt","Total_PP_BI_amt","Total_NPP_BI_amt","Total_PP_BE_amt","Total_NPP_BE_amt","Net_CG_amt","Tot_CY_CG_amt","Net_PT_PP_dsn","Net_PT_NPP_dsn","Taxed_othr_pnsn_amt","Untaxed_othr_pnsn_amt","Other_foreign_inc_amt","Other_inc_amt","Tot_inc_amt","WRE_car_amt","WRE_trvl_amt","WRE_uniform_amt","WRE_self_amt","WRE_other_amt","Div_Ded_amt","Intrst_Ded_amt","Gift_amt","Non_emp_spr_amt","Cost_tax_affairs_amt","Other_Ded_amt","Tot_ded_amt","PP_loss_claimed","NPP_loss_claimed","Rep_frng_ben_amt","Med_Exp_TO_amt","Asbl_forgn_source_incm_amt","Spouse_adjusted_taxable_inc","Net_fincl_invstmt_lss_amt","Rptbl_Empr_spr_cont_amt","Cr_PAYG_ITI_amt","TFN_amts_wheld_gr_intst_amt","TFN_amts_wheld_divs_amt","Hrs_to_prepare_BPI_cnt","Taxable_Income","Help_debt"
52133,"1",6,1,"0",23,"A","0",88793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90193,0,0,140,0,255,0,0,655,0,243,0,997,0,0,8111,0,0,0,0,0,0,0,0,0,89893,0
225241,"1",9,0,"0",23,"A","0",0,0,0,11,16541,0,0,0,0,0,0,0,0,0,0,9757,0,9239,0,0,0,0,0,0,0,0,0,-4634,19899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19456,0
243588,"0",6,5,"1",28,"S","1",53937,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54362,2568,0,405,0,1867,0,0,0,0,0,0,4685,0,0,0,0,0,15707,0,0,0,0,0,1,50482,0
248780,"0",11,8,"0",11,"A","0",31757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30964,0,0,0,0,76,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,30818,0
194976,"0",4,0,"0",9,"A","0",0,0,0,863,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14782,0,0,0,0,0,0,0,0,0,245,0,241,0,0,0,0,0,0,0,0,0,0,0,0,15075,0
86036,"0",4,9,"1",1,"S","1",82692,0,0,0,0,0,79,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82125,0,0,83,0,107,0,0,0,0,0,0,273,0,0,0,0,0,44556,0,2350,0,0,0,0,75571,0
224209,"0",5,0,"1",28,"A","1",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16204,0,0,0,0,17145,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,28753,0,0,0,0,0,0,17775,0
30889,"0",6,0,"1",27,"A","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278,0,16595,0,12810,0,0,0,0,0,0,0,0,3438,0,0,0,0,0,0,0,0,0,193,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245395,"0",11,8,"0",25,"S","1",0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,2753,18220,0,0,0,0,0,0,0,90,0,0,0,91,0,0,0,0,892,0,0,0,0,8,0,0,18144,0
83851,"0",2,5,"1",1,"A","0",52222,0,0,3773,0,0,0,0,0,0,0,0,0,0,0,4939,0,2919,0,0,0,0,0,0,0,0,0,2535,78430,0,0,320,0,0,0,0,0,0,523,0,714,0,0,0,0,0,5942,0,0,0,0,0,0,79794,0
1897,"0",1,2,"1",3,"A","1",85817,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89950,0,0,0,0,465,0,0,862,0,236,0,1470,0,0,0,0,0,0,0,0,0,0,0,0,90395,0
7170,"1",2,8,"0",1,"A","0",32112,721,0,82,0,0,0,0,3960,28032,10465,17123,3558,0,0,0,0,0,0,0,162,0,0,0,0,0,0,1789,35310,856,0,141,0,113,0,0,113,0,7,0,1327,0,0,0,0,0,0,0,3568,0,0,0,0,34961,0
115332,"0",11,5,"0",32,"S","0",9900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42511,0,0,0,0,0,0,19889,2854,0,0,0,765,0,0,0,0,177,0,4111,0,0,0,0,11,0,0,0,0,0,0,0,20389,0
194557,"0",2,0,"1",16,"A","1",0,498,0,1574,0,91,1653,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53566,0,0,0,112,65186,0,0,0,0,0,0,0,158,0,0,5925,6461,0,0,0,0,21,17264,0,0,10157,0,0,0,56898,0
216769,"1",10,5,"0",23,"S","0",39557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11316,0,8812,0,0,0,0,0,0,0,0,39630,1148,92,0,520,12,0,0,0,0,140,0,1091,0,0,0,0,0,0,0,0,0,0,0,0,38820,0
27722,"0",6,3,"1",2,"A","0",42947,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53596,672,0,161,0,0,0,0,46,0,56,598,1310,0,0,0,0,0,6546,0,0,0,0,0,0,52650,0
